rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year
32,6/14/2013,Man of Steel,/movie/Man-of-Steel#tab=summary,225000000,291045518,667999518,116619362,PG-13,Action,4207,142,2013
33,5/16/2008,The Chronicles of Narnia: Prince Caspian,/movie/Chronicles-of-Narnia-Prince-Caspian-The#tab=summary,225000000,141621490,417341288,55034805,PG,Adventure,3929,144,2008
34,7/2/2013,The Lone Ranger,/movie/Lone-Ranger-The#tab=summary,225000000,89302115,260002115,29210849,PG-13,Western,3904,149,2013
35,6/27/2012,The Amazing Spider-Man,/movie/Amazing-Spider-Man-The#tab=summary,220000000,262030663,757890267,62004688,PG-13,Adventure,4318,136,2012
36,4/11/2012,Battleship,/movie/Battleship#tab=summary,220000000,65233400,313477717,25534825,PG-13,Action,3702,130,2012
37,6/20/2017,Transformers: The Last Knight,/movie/Transformers-The-Last-Knight#tab=summary,217000000,130168683,602893340,44680073,PG-13,Action,4132,148,2017
38,6/9/2015,Jurassic World,/movie/Jurassic-World#tab=summary,215000000,652306625,1669979967,208806270,PG-13,Action,4291,124,2015
39,5/23/2012,Men in Black 3,/movie/Men-in-Black-3#tab=summary,215000000,179020854,654213485,54592779,PG-13,Adventure,4248,104,2012
40,6/24/2009,Transformers: Revenge of the Fallen,/movie/Transformers-Revenge-of-the-Fallen#tab=summary,210000000,402111870,836519699,108966307,PG-13,Action,4293,149,2009
41,6/25/2014,Transformers: Age of Extinction,/movie/Transformers-Age-of-Extinction#tab=summary,210000000,245439076,1104054072,100038390,PG-13,Action,4233,165,2014
42,5/26/2006,X-Men: The Last Stand,/movie/X-Men-The-Last-Stand#tab=summary,210000000,234362462,459260946,102750665,PG-13,Action,3714,104,2006
43,5/14/2010,Robin Hood,/movie/Robin-Hood-(2010)#tab=summary,210000000,105487148,322459006,36063385,PG-13,Action,3505,,2010
44,12/14/2005,King Kong,/movie/King-Kong-(2005)#tab=summary,207000000,218080025,550517357,50130145,PG-13,Adventure,3627,189,2005
45,12/7/2007,The Golden Compass,/movie/His-Dark-Materials-The-Golden-Compass#tab=summary,205000000,70107728,367262558,25783232,PG-13,Adventure,3528,113,2007
46,8/26/2020,Tenet,/movie/Tenet-(2020)#tab=summary,205000000,58504105,362450957,20001852,PG-13,Action,2930,110,2020
47,12/14/2021,Spider-Man: No Way Home,/movie/Spider-Man-No-Way-Home-(2021)#tab=summary,200000000,814108407,1912775610,260138569,PG-13,Action,4336,148,2021
48,2/13/2018,Black Panther,/movie/Black-Panther#tab=summary,200000000,700059566,1336494321,202003951,PG-13,Action,4084,120,2018
49,12/18/1997,Titanic,/movie/Titanic-(1997)#tab=summary,200000000,659363944,2207986545,28638131,PG-13,Drama,3265,194,1997
50,6/15/2018,Incredibles 2,/movie/Incredibles-2#tab=summary,200000000,608581744,1242805359,182687905,PG,Adventure,4413,118,2018
51,12/14/2016,Rogue One: A Star Wars Story,/movie/Rogue-One-A-Star-Wars-Story#tab=summary,200000000,533539991,1055083596,155081681,PG-13,Adventure,4157,134,2016
52,6/16/2016,Finding Dory,/movie/Finding-Dory#tab=summary,200000000,486295561,1025006125,135060273,PG,Adventure,4305,103,2016
53,6/20/2019,Toy Story 4,/movie/Toy-Story-4-(2019)#tab=summary,200000000,434038008,1073080329,120908065,G,Adventure,4575,89,2019
54,6/18/2010,Toy Story 3,/movie/Toy-Story-3#tab=summary,200000000,415004880,1068879522,110307189,G,Adventure,4028,102,2010
55,5/4/2022,Doctor Strange in the Multiverse of Madness,/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary,200000000,411331607,952224986,187420998,PG-13,Action,4534,126,2022
56,4/24/2013,Iron Man 3,/movie/Iron-Man-3#tab=summary,200000000,408992272,1215392272,174144585,PG-13,Action,4253,130,2013
57,4/28/2017,Guardians of the Galaxy Vol 2,/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary,200000000,389813101,869113101,146510104,PG-13,Action,4347,136,2017
58,6/30/2004,Spider-Man 2,/movie/Spider-Man-2#tab=summary,200000000,373524485,794697557,88156227,PG-13,Adventure,4166,127,2004
59,3/1/2022,The Batman,/movie/Batman-The-(2021)#tab=summary,200000000,369345583,767820302,134008624,PG-13,Action,4417,175,2022
60,3/4/2010,Alice in Wonderland,/movie/Alice-in-Wonderland-(2010)#tab=summary,200000000,334191110,1025491110,116101023,PG,Adventure,3739,108,2010
61,10/26/2012,Skyfall,/movie/Skyfall#tab=summary,200000000,304360277,1110526981,88364714,PG-13,Action,3526,143,2012
62,12/11/2012,The Hobbit: An Unexpected Journey,/movie/Hobbit-An-Unexpected-Journey-The#tab=summary,200000000,303003568,1014938545,84617303,PG-13,Adventure,4100,169,2012
63,6/21/2013,Monsters University,/movie/Monsters-University#tab=summary,200000000,268488329,743455810,82429469,G,Adventure,4004,102,2013
64,3/8/2013,Oz the Great and Powerful,/movie/Oz-The-Great-and-Powerful#tab=summary,200000000,234770996,490359051,79110453,PG,Adventure,3912,130,2013
65,5/21/2014,X-Men: Days of Future Past,/movie/X-Men-Days-of-Future-Past#tab=summary,200000000,233921534,747862775,90823660,PG-13,Action,4001,131,2014
66,4/16/2014,The Amazing Spider-Man 2,/movie/Amazing-Spider-Man-2-The#tab=summary,200000000,202853933,708996336,91608337,PG-13,Action,4324,141,2014
67,6/23/2011,Cars 2,/movie/Cars-2#tab=summary,200000000,191450875,560155383,66135507,G,Adventure,4115,107,2011
68,7/7/2021,Black Widow,/movie/Black-Widow-(2021)#tab=summary,200000000,183651655,379751655,80366312,PG-13,Action,4275,133,2021
69,7/31/2019,Fast & Furious Presents: Hobbs & Shaw,/movie/Fast-and-Furious-Presents-Hobbs-and-Shaw-(2019)#tab=summary,200000000,173956935,760381706,60038950,PG-13,Action,4344,134,2019
70,5/20/2021,F9: The Fast Saga,/movie/F9-The-Fast-Saga-(2021)#tab=summary,200000000,173005945,721077945,70043165,PG-13,Action,4203,145,2021
43,5/14/2010,Robin Hood,/movie/Robin-Hood-(2010)#tab=summary,210000000,105487148,322459006,36063385,PG-13,Action,3505,139,2010
71,12/17/2010,Tron: Legacy,/movie/Tron-Legacy#tab=summary,200000000,172062763,399866199,44026211,PG,Adventure,3451,125,2010
72,11/12/2009,2012,/movie/2012#tab=summary,200000000,166112167,757677748,65237614,PG-13,Action,3444,,2009
73,11/3/2021,Eternals,/movie/Eternals-(2021)#tab=summary,200000000,164870264,402064929,71297219,PG-13,Action,4090,156,2021
74,11/14/2018,Fantastic Beasts: The Crimes of Grindelwald,/movie/Fantastic-Beasts-The-Crimes-of-Grindelwald-(2018)#tab=summary,200000000,159555901,648455339,62163104,PG-13,Adventure,4163,134,2018
75,5/21/2009,Terminator Salvation,/movie/Terminator-Salvation#tab=summary,200000000,125322469,365491792,42558390,PG-13,Action,3602,116,2009
76,6/15/2022,Lightyear,/movie/Lightyear-(2022)#tab=summary,200000000,118307188,218571346,50577961,PG,Adventure,4255,110,2022
77,7/28/2021,Jungle Cruise,/movie/Jungle-Cruise-(2021)#tab=summary,200000000,116987516,210384144,35018731,PG-13,Adventure,4310,90,2021
78,6/17/2011,Green Lantern,/movie/Green-Lantern-(2011)#tab=summary,200000000,116601172,219535492,53174303,PG-13,Action,3816,113,2011
79,4/6/2022,Fantastic Beasts: The Secrets of Dumbledore,/movie/Fantastic-Beasts-The-Secrets-of-Dumbledore-(2021)#tab=summary,200000000,95850844,404560146,42151256,PG-13,Adventure,4245,NA,2022
80,5/28/2010,Prince of Persia: Sands of Time,/movie/Prince-of-Persia-Sands-of-Time#tab=summary,200000000,90759676,336359676,30095259,PG-13,Action,3646,115,2010
81,6/5/2019,Dark Phoenix,/movie/Dark-Phoenix-(2019)#tab=summary,200000000,65845974,246356895,32828348,PG-13,Action,3721,114,2019
82,2/28/2020,Onward,/movie/Onward-(2020)#tab=summary,200000000,61555145,133317030,39119861,PG,Adventure,4310,114,2020
83,12/16/2020,Wonder Woman 1984,/movie/Wonder-Woman-1984-(2020)#tab=summary,200000000,46801036,166360232,16701957,PG-13,Action,2218,151,2020
84,9/4/2020,Mulan,/movie/Mulan-(2020)#tab=summary,200000000,0,69965374,NA,PG-13,Adventure,NA,115,2020
85,7/2/2021,The Tomorrow War,/movie/Tomorrow-War-The#tab=summary,200000000,0,19220000,NA,PG-13,Action,NA,140,2021
86,7/13/2022,The Gray Man,/movie/Gray-Man-The-(2022)#tab=summary,200000000,0,451178,NA,PG-13,Thriller/Suspense,NA,129,2022
87,6/29/2011,Transformers: Dark of the Moon,/movie/Transformers-Dark-of-the-Moon-(2011)#tab=summary,195000000,352390543,1123794079,97852865,PG-13,Action,4107,154,2011
88,6/2/2017,The Mummy,/movie/Mummy-The-(2017)#tab=summary,195000000,80101125,409953905,31668375,PG-13,Adventure,4035,107,2017
89,2/27/2013,Jack the Giant Slayer,/movie/Jack-the-Giant-Slayer#tab=summary,195000000,65187603,197687603,27202226,PG-13,Adventure,3525,113,2013
90,4/1/2015,Furious 7,/movie/Furious-7#tab=summary,190000000,353007020,1514553486,147187040,PG-13,Action,4022,137,2015
91,5/16/2013,Star Trek Into Darkness,/movie/Star-Trek-Into-Darkness#tab=summary,190000000,228778661,467381584,70165559,PG-13,Adventure,3907,132,2013
92,6/19/2013,World War Z,/movie/World-War-Z#tab=summary,190000000,202706711,531861650,66411834,PG-13,Action,3607,115,2013
93,5/10/2013,The Great Gatsby,/movie/Great-Gatsby-The-(2011)#tab=summary,190000000,144840419,353640419,50085184,PG-13,Drama,3550,141,2013
94,11/6/2009,Disney’s A Christmas Carol,/movie/Disneys-A-Christmas-Carol#tab=summary,190000000,137855863,315709697,30051075,PG,Drama,3683,95,2009
95,7/11/2013,Pacific Rim,/movie/Pacific-Rim#tab=summary,190000000,101802906,411002906,37285325,PG-13,Action,3285,131,2013
96,12/16/2021,The Matrix Resurrections,/movie/Matrix-Resurrections-The-(2021)#tab=summary,190000000,37686805,156467817,10749011,R,Action,3552,148,2021
97,11/25/2015,The Good Dinosaur,/movie/Good-Dinosaur-The#tab=summary,187500000,123087120,333771037,39155217,PG,Adventure,3749,92,2015
98,5/2/2008,Iron Man,/movie/Iron-Man#tab=summary,186000000,318604126,585171547,102118668,PG-13,Adventure,4154,126,2008
99,7/11/2008,The Dark Knight,/movie/Dark-Knight-The#tab=summary,185000000,533720947,998615789,158411483,PG-13,Action,4366,152,2008
100,5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary,185000000,317101119,786635413,100137835,PG-13,Adventure,4264,123,2008
101,6/21/2012,Brave,/movie/Brave#tab=summary,185000000,237282182,554606532,66323594,PG,Adventure,4164,93,2012
102,2/23/2017,Kong: Skull Island,/movie/Kong-Skull-Island#tab=summary,185000000,168052812,561072059,61025472,PG-13,Adventure,3846,118,2017
103,7/21/2016,Star Trek Beyond,/movie/Star-Trek-Beyond#tab=summary,185000000,158848340,335673708,59253211,PG-13,Adventure,3928,122,2016
104,10/17/2019,Maleficent: Mistress of Evil,/movie/Maleficent-Mistress-of-Evil-(2019)#tab=summary,185000000,113929605,489346495,36948713,PG,Adventure,3820,118,2019
105,9/29/2017,Blade Runner 2049,/movie/Blade-Runner-2049#tab=summary,185000000,92054159,258829058,32753122,R,Thriller/Suspense,4058,164,2017
106,10/25/2019,Terminator: Dark Fate,/movie/Terminator-Dark-Fate-(2019)#tab=summary,185000000,62253077,250372367,29033832,R,Action,4086,128,2019
107,7/28/2021,The Suicide Squad,/movie/Suicide-Squad-The-(2021)#tab=summary,185000000,55817425,167120232,26205415,R,Action,4019,132,2021
108,5/22/2019,Aladdin,/movie/Aladdin-(2019)#tab=summary,182000000,355559216,1046649706,91500929,PG,Adventure,4476,128,2019
109,10/25/2017,Thor: Ragnarok,/movie/Thor-Ragnarok#tab=summary,180000000,315058289,850482778,122744989,PG-13,Action,4080,130,2017
110,12/9/2005,"The Chronicles of Narnia: The Lion, the Witch a…",/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary,180000000,291710957,720539572,NA,NA,NA,NA,NA,2005
111,5/28/2014,Maleficent,/movie/Maleficent#tab=summary,180000000,241407328,758536735,69431298,PG,Adventure,3948,97,2014
112,11/14/2016,Fantastic Beasts and Where to Find Them,/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary,180000000,234037575,811724385,74403387,PG-13,Adventure,4144,133,2016
113,6/27/2008,WALL-E,/movie/WALL-E#tab=summary,180000000,223808164,532508025,63087526,G,Adventure,3992,100,2008
114,8/10/2007,Rush Hour 3,/movie/Rush-Hour-3#tab=summary,180000000,140125968,256585882,49100158,PG-13,Action,3778,91,2007
115,6/27/2016,The Legend of Tarzan,/movie/Legend-of-Tarzan-The#tab=summary,180000000,126643061,348902025,38527856,PG-13,Adventure,3591,110,2016
116,11/23/2011,Hugo,/movie/Hugo#tab=summary,180000000,73864507,180047784,11364505,PG,Adventure,2608,126,2011
117,7/20/2017,Valerian and the City of a Thousand Planets,/movie/Valerian-and-the-City-of-a-Thousand-Planets-(France)#tab=summary,180000000,40479370,215098356,17007624,PG-13,Adventure,3553,129,2017
118,2/6/2015,Jupiter Ascending,/movie/Jupiter-Ascending#tab=summary,179000000,47482519,181982519,18372372,PG-13,Action,3885,127,2015
119,7/16/2018,Mission: Impossible—Fallout,/movie/Mission-Impossible-Fallout#tab=summary,178000000,220159104,787176729,61236534,PG-13,Action,4395,147,2018
120,5/18/2016,X-Men: Apocalypse,/movie/X-Men-Apocalypse-(2016)#tab=summary,178000000,155442489,542537546,65769562,PG-13,Action,4153,136,2016
121,8/9/2018,The Meg,/movie/Meg-The#tab=summary,178000000,145443742,527370715,45402195,PG-13,Action,4118,113,2018
122,5/28/2014,Edge of Tomorrow,/movie/Edge-of-Tomorrow#tab=summary,178000000,100206256,367028980,28760246,PG-13,Action,3505,136,2014
123,3/6/2019,Captain Marvel,/movie/Captain-Marvel-(2019)#tab=summary,175000000,426829839,1129727388,153433423,PG-13,Action,4310,124,2019
124,4/7/2016,The Jungle Book,/movie/Jungle-Book-The-(2016)#tab=summary,175000000,364001123,953554418,103261464,PG,Adventure,4144,105,2016
125,6/12/2015,Inside Out,/movie/Inside-Out-(2015)#tab=summary,175000000,356461711,853003563,90440272,PG,Adventure,4158,95,2015
126,7/5/2017,Spider-Man: Homecoming,/movie/Spider-Man-Homecoming#tab=summary,175000000,334201140,878346440,117027503,PG-13,Action,4348,133,2017
127,8/2/2016,Suicide Squad,/movie/Suicide-Squad#tab=summary,175000000,325100054,745744980,133682248,PG-13,Action,4255,123,2016
128,5/28/2009,Up,/movie/Up#tab=summary,175000000,293004164,731463377,68108790,PG,Adventure,3886,89,2009
129,10/27/2017,Coco,/movie/Coco-(2017)#tab=summary,175000000,210460015,797666425,50802605,PG,Musical,3987,105,2017
130,11/21/2018,Ralph Breaks The Internet,/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary,175000000,201091711,529290830,56237634,PG,Adventure,4017,112,2018
95,7/11/2013,Pacific Rim,/movie/Pacific-Rim#tab=summary,190000000,101802906,411002906,37285325,PG-13,Action,3285,131,2013
131,3/27/2009,Monsters vs. Aliens,/movie/Monsters-vs-Aliens#tab=summary,175000000,198351526,381687380,59321095,PG,Adventure,4136,95,2009
132,6/16/2017,Cars 3,/movie/Cars-3#tab=summary,175000000,152901115,383541369,53688680,G,Adventure,4256,109,2017
133,8/7/2009,G.I. Joe: The Rise of Cobra,/movie/GI-Joe-The-Rise-of-Cobra-(2009)#tab=summary,175000000,150201498,302469017,54713046,PG-13,Action,4007,118,2009
134,6/30/1999,Wild Wild West,/movie/Wild-Wild-West#tab=summary,175000000,113805681,221229335,27687484,PG-13,Adventure,3342,107,1999
135,8/1/2008,The Mummy: Tomb of the Dragon Emperor,/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary,175000000,102491776,405760225,40457770,PG-13,Adventure,3778,111,2008
136,6/22/2007,Evan Almighty,/movie/Evan-Almighty#tab=summary,175000000,100289690,174131329,31192615,PG,Comedy,3636,96,2007
137,7/28/1995,Waterworld,/movie/Waterworld#tab=summary,175000000,88246220,264246220,21171780,PG-13,Action,2420,135,1995
138,1/8/2020,Dolittle,/movie/Dolittle#tab=summary,175000000,77047065,251410631,21844045,PG,Adventure,4155,103,2020
139,5/11/2017,King Arthur: Legend of the Sword,/movie/King-Arthur-Legend-of-the-Sword#tab=summary,175000000,39175066,139630336,15371270,PG-13,Adventure,3702,126,2017
140,12/6/2013,47 Ronin,/movie/47-Ronin#tab=summary,175000000,38362475,151716815,9910310,PG-13,Action,2690,127,2013
141,3/10/2022,Turning Red,/movie/Turning-Red-(2022)#tab=summary,175000000,0,10965045,NA,PG,Adventure,NA,100,2022
142,5/20/2022,Top Gun: Maverick,/movie/Top-Gun-Maverick-(2020)#tab=summary,170000000,715270567,1478823595,126707459,PG-13,Action,4751,131,2022
143,6/6/2018,Jurassic World: Fallen Kingdom,/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary,170000000,417719760,1308334005,148024610,PG-13,Action,4485,128,2018
144,7/31/2014,Guardians of the Galaxy,/movie/Guardians-of-the-Galaxy#tab=summary,170000000,333714112,770882395,94320883,PG-13,Action,4088,121,2014
145,5/7/2010,Iron Man 2,/movie/Iron-Man-2#tab=summary,170000000,312433331,621156389,128122480,PG-13,Action,4390,125,2010
146,3/28/2014,Captain America: The Winter Soldier,/movie/Captain-America-The-Winter-Soldier#tab=summary,170000000,259746958,714401889,95023721,PG-13,Action,3938,135,2014
147,7/9/2014,Dawn of the Planet of the Apes,/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary,170000000,208545589,710644566,72611427,PG-13,Adventure,3969,130,2014
148,11/10/2004,The Polar Express,/movie/Polar-Express-The#tab=summary,170000000,188578855,312719437,23325035,G,Adventure,3650,92,2004
149,5/30/2012,Snow White and the Huntsman,/movie/Snow-White-and-the-Huntsman#tab=summary,170000000,155136755,401021746,56217700,PG-13,Adventure,3777,127,2012
150,7/1/2003,Terminator 3: Rise of the Machines,/movie/Terminator-3-Rise-of-the-Machines#tab=summary,170000000,150358296,433058296,44041440,R,Action,3504,109,2003
151,5/5/2004,Van Helsing,/movie/Van-Helsing#tab=summary,170000000,120150546,300150546,51748040,PG-13,Action,3580,132,2004
152,3/27/2019,Dumbo,/movie/Dumbo-(2019)#tab=summary,170000000,114766307,353166307,45990748,PG,Adventure,4259,130,2019
153,5/29/2019,Godzilla: King of the Monsters,/movie/Godzilla-King-of-the-Monsters-(2019)#tab=summary,170000000,110500138,383299915,47776293,PG-13,Action,4108,132,2019
154,5/20/2015,Tomorrowland,/movie/Tomorrowland#tab=summary,170000000,93436322,206627518,33028165,PG,Adventure,3972,NA,2015
155,2/1/2019,Alita: Battle Angel,/movie/Alita-Battle-Angel-(2019)#tab=summary,170000000,85838210,401900040,28525613,PG-13,Action,3802,122,2019
156,5/20/2016,Alice Through the Looking Glass,/movie/Alice-Through-the-Looking-Glass#tab=summary,170000000,77042381,276928112,26858726,PG,Adventure,3763,113,2016
157,6/1/2022,Jurassic World: Dominion,/movie/Jurassic-World-Dominion-(2022)#tab=summary,165000000,376009080,1001188755,145075625,PG-13,Action,4697,146,2022
158,5/21/2010,Shrek Forever After,/movie/Shrek-Forever-After-(2010)#tab=summary,165000000,238736787,756244673,70838207,PG,Adventure,4386,93,2010
159,10/24/2016,Doctor Strange,/movie/Doctor-Strange-(2016)#tab=summary,165000000,232641920,676354481,85058311,PG-13,Action,3882,115,2016
160,10/25/2014,Big Hero 6,/movie/Big-Hero-6#tab=summary,165000000,222527828,648415024,56215889,PG,Adventure,3773,108,2014
161,3/26/2010,How to Train Your Dragon,/movie/How-to-Train-Your-Dragon#tab=summary,165000000,217581232,494870992,43732319,PG,Adventure,4060,91,2010
162,11/1/2012,Wreck-It Ralph,/movie/Wreck-It-Ralph#tab=summary,165000000,189412677,496511521,49038712,PG,Adventure,3752,101,2012
163,11/5/2014,Interstellar,/movie/Interstellar#tab=summary,165000000,188017894,649133873,47510360,PG-13,Adventure,3561,165,2014
164,9/15/2021,Dune,/movie/Dune-(2020)#tab=summary,165000000,108327830,397720527,41011174,PG-13,Action,4125,156,2021
165,6/22/2016,Independence Day: Resurgence,/movie/Independence-Day-Resurgence#tab=summary,165000000,103144286,384169424,41039944,PG-13,Action,4091,119,2016
166,7/29/2011,Cowboys and Aliens,/movie/Cowboys-and-Aliens#tab=summary,163000000,100368560,176038324,36431290,PG-13,Action,3754,118,2011
167,3/16/2017,Beauty and the Beast,/movie/Beauty-and-the-Beast-(2017)#tab=summary,160000000,504014165,1270042058,174750616,PG,Musical,4210,123,2017
168,6/27/2019,Spider-Man: Far From Home,/movie/Spider-Man-Far-From-Home-(2019)#tab=summary,160000000,390532085,1132532832,92579212,PG-13,Action,4634,129,2019
169,12/6/2018,Aquaman,/movie/Aquaman-(2018)#tab=summary,160000000,335061807,1143758700,67873522,PG-13,Action,4184,143,2018
170,5/17/2007,Shrek the Third,/movie/Shrek-the-Third#tab=summary,160000000,322719944,807330936,121629270,PG,Adventure,4172,92,2007
171,7/16/2010,Inception,/movie/Inception#tab=summary,160000000,292576195,728582465,62785337,PG-13,Thriller/Suspense,3792,147,2010
172,11/18/2015,The Hunger Games: Mockingjay - Part 2,/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary,160000000,281723902,648986787,102665981,PG-13,Thriller/Suspense,4175,136,2015
173,5/17/2013,Fast and Furious 6,/movie/Fast-and-Furious-6#tab=summary,160000000,238679850,789300444,97375245,PG-13,Action,3771,130,2013
174,5/14/2014,Godzilla,/movie/Godzilla-(2014)#tab=summary,160000000,200676069,529076069,93188384,PG-13,Action,3952,123,2014
175,6/3/2011,X-Men: First Class,/movie/X-Men-First-Class#tab=summary,160000000,146408305,355408305,55101604,PG-13,Action,3692,132,2011
176,12/25/2008,The Curious Case of Benjamin Button,/movie/Curious-Case-of-Benjamin-Button-The#tab=summary,160000000,127509326,329631958,26853816,PG-13,Drama,2988,167,2008
177,7/14/2010,The Sorcerer's Apprentice,/movie/Sorcerers-Apprentice-The#tab=summary,160000000,63150991,217986320,17619622,PG,Adventure,3504,108,2010
178,5/12/2006,Poseidon,/movie/Poseidon#tab=summary,160000000,60674817,181674817,22155410,PG-13,Adventure,3555,NA,2006
179,5/25/2016,Warcraft,/movie/Warcraft#tab=summary,160000000,47365290,438899824,24166110,PG-13,Action,3406,123,2016
